1427199307.22, -114.36, 0.95, 0
1427199307.42, -108.01, 0.708, 0
1427199307.62, -101.65, 0.534, 0
1427199307.81, -88.95, 0.463, 0
1427199308.01, -88.95, 0.35, 0
1427199308.22, -95.3, 0.281, 0
1427199308.42, -108.01, 0.259, 0
1427199308.62, -88.95, 0.184, 0
1427199308.82, -88.95, 0.147, 0
1427199309.02, -44.47, 0.142, 0
1427199309.21, 324.02, 0.156, 165.127293992
1427199309.42, 425.67, 0.186, 165.127293992
1427199309.62, 393.9, 0.203, 165.127293992
1427199309.82, 412.96, 0.262, 165.127293992
1427199310.02, 374.84, 0.373, 165.127293992
1427199310.22, 381.19, 0.565, 165.127293992
1427199310.41, 374.84, 0.822, 165.127293992
1427199310.62, 419.31, 1.096, 165.127293992
1427199310.82, 457.43, 1.512, 165.127293992
1427199311.02, 425.67, 1.768, 165.127293992
1427199311.22, 432.02, 2.182, 165.127293992
1427199311.42, 419.31, 2.588, 165.127293992
1427199311.62, 362.13, 2.941, 165.127293992
